Nome;E-mail;Histórico de Pedidos;Data Último Pedido;Valor Último Pedido ($)
Alex Magus;alex@magia.com;Varinha Mágica;2023-01-15;120
Bianca Feiticeira;bianca@feiticeiro.com;Poção de Cura;2023-02-20;85
;carlos@magia.com;"Livro dos Encantamentos; Capa da Invisibilidade";;0
Darius, o Sábio;;Cristal Encantado;2023-03-10;200
Elena das Sombras;elena@sombras.com;;2023-01-25;
Fábio Luminoso;fabio@luz.com;"Poção de Cura; Varinha Mágica";2023-02-15;150
Gisela da Terra;gisela@terra.com;Sementes Mágicas;2023-03-05;60
Hector Vento Veloz;hector@vento.com;Elixir de Velocidade;;100
Irina Flamejante;irina@fogo.com;Orbe do Fogo;2023-02-28;95
João;joao@magia.com;Mapa Estelar;2023-01-05;Cinquenta
Matheus Damasceno;jdamasceno@com;Mapa Estelar;2023-01-05;Cinquenta
